Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation,Angular_Error_Deg,Flux_Error,Tortuosity_Error_,Divergent_Residual_
Ko et. al (Etapas 3),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.33820475861302,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,5.377745628356934,34.76112365722656,0.8974468390266794,36.80499267578125,0.8620567917823792,5.252760887145996,50.204612731933594
Ko et. al (Etapas 3),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,2.7934281826019287,31.714820861816406,0.9124776117412775,37.564414978027344,0.48824983835220337,5.533580780029297,51.11787033081055
Ko et. al (Etapas 3),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.10595948237351,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,16.43035125732422,32.683319091796875,0.9082947567628364,41.462677001953125,0.4386296570301056,7.151914596557617,52.280914306640625
Ko et. al (Etapas 3),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,15.945425033569336,29.78242301940918,0.9287857417890426,39.583778381347656,0.42511850595474243,4.388594627380371,51.68612289428711
Ko et. al (Etapas 3),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,13.817893981933594,31.688703536987305,0.9092618326114394,40.340545654296875,0.43664127588272095,8.015027046203613,52.54454803466797
Ko et. al (Etapas 3),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373509,13.484778931738408,893348.0000000001,25876.033958198066,444.62988182500567,-24.83811830627892,12.161216735839844,28.544971466064453,0.9254827577165315,40.0361328125,0.46475258469581604,4.9842424392700195,51.25627899169922
Ko et. al (Etapas 3),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.572544885058969,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,10.531866073608398,35.84142303466797,0.8573254579805418,38.68997573852539,0.47009965777397156,4.617431163787842,50.75001525878906
Ko et. al (Etapas 3),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058974,18.110771637517,877461.0000000001,20974.89937981467,336.77486651563237,-16.7311633925355,15.25047492980957,38.40281295776367,0.8379215067820028,38.03767776489258,0.431245356798172,6.22102165222168,51.09610366821289
Ko et. al (Etapas 3),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.57254488505897,18.110771637517,877461.0000000001,20974.89937981467,336.7748665156325,-16.7311633925355,12.306081771850586,36.91405487060547,0.8477516745008438,38.299339294433594,0.48900240659713745,4.248459815979004,51.54786682128906
Ko et. al (Etapas 3),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058976,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,11.35874080657959,39.41780090332031,0.8200624036571136,38.68464279174805,0.42889031767845154,5.889915943145752,51.37949752807617
Ko et. al (Etapas 3),Spherical Pores,0.5118755787037037,1308.8135986328125,1.0,11.39140019400909,18.110771637517,881341.0,21965.663125863146,334.5224287423813,-20.01373409380584,1.1335654258728027,30.94087791442871,0.8671209684912106,42.75148391723633,0.6677063703536987,8.346515655517578,53.91830825805664
Ko et. al (Etapas 3),Spherical Pores,0.5118755787037037,1308.8138427734375,1.0,11.391400194009089,18.110771637517,881341.0,21965.663125863146,334.5224287423812,-20.01373409380584,1.7910581827163696,30.46928596496582,0.8817810842600539,43.53266525268555,0.7449365258216858,9.680479049682617,54.36676025390625
Ko et. al (Etapas 3),Spherical Pores,0.5118755787037037,1308.8138427734375,1.0,11.391400194009089,18.110771637517,881341.0,21965.663125863146,334.5224287423812,-20.01373409380584,1.4584259986877441,26.819477081298828,0.89187924850896,42.86576843261719,0.6520721316337585,9.086565971374512,53.3159294128418
Ko et. al (Etapas 3),Spherical Pores,0.5118755787037037,1308.8138427734375,1.0,11.39140019400909,18.110771637517,881341.0,21965.663125863146,334.5224287423813,-20.01373409380584,3.823617935180664,30.487701416015625,0.8792562587618206,42.825191497802734,0.7257158756256104,8.186874389648438,54.094398498535156
Ko et. al (Etapas 3),Spherical Pores,0.45336921296296295,844.1255493164062,1.0,11.843540382505221,18.658129485507295,779341.0,17905.04622647963,297.2008747089705,-5.540581456386607,14.387027740478516,42.72417449951172,0.8407474476770439,48.85636520385742,0.6910948157310486,5.644187927246094,59.70317077636719
Ko et. al (Etapas 3),Spherical Pores,0.45336921296296295,844.12548828125,1.0,11.84354038250522,18.658129485507295,779341.0,17905.046226479633,297.2008747089706,-5.540581456386607,20.453292846679688,39.30888748168945,0.8753530603144846,48.62664794921875,0.8741278052330017,6.640416145324707,59.93754196166992
Ko et. al (Etapas 3),Spherical Pores,0.45336921296296295,844.1255493164062,1.0,11.843540382505218,18.658129485507295,779341.0,17905.046226479633,297.2008747089705,-5.540581456386607,15.476910591125488,42.394508361816406,0.838125124786512,49.54180908203125,0.732138991355896,7.854639053344727,60.0256462097168
Ko et. al (Etapas 3),Spherical Pores,0.45336921296296295,844.12548828125,1.0,11.843540382505225,18.658129485507295,779341.0,17905.04622647963,297.2008747089705,-5.540581456386607,14.389861106872559,42.06435012817383,0.8581475911617672,49.70470428466797,0.7316349148750305,1.1003984212875366,60.052101135253906
Ko et. al (Etapas 3),Spherical Pores,0.5171122685185185,1071.8746337890625,1.0,12.552819778450406,18.658129485507295,889750.0,19052.498767366385,272.78144648811775,-8.823152157656947,9.474803924560547,57.93454360961914,0.7885384374059577,41.211891174316406,0.6275665163993835,3.2348392009735107,58.27420425415039
Ko et. al (Etapas 3),Spherical Pores,0.5171122685185185,1071.8746337890625,1.0,12.552819778450411,18.658129485507295,889750.0,19052.498767366385,272.78144648811775,-8.823152157656947,9.261244773864746,55.120113372802734,0.8049215392568742,43.017372131347656,0.689823567867279,1.6142919063568115,57.72990417480469
Ko et. al (Etapas 3),Spherical Pores,0.5171122685185185,1071.8743896484375,1.0,12.552819778450406,18.658129485507295,889750.0,19052.498767366385,272.78144648811775,-8.823152157656947,13.863709449768066,52.39006042480469,0.8206370369832707,40.70915603637695,0.6125882267951965,0.25179973244667053,57.65595245361328
Ko et. al (Etapas 3),Spherical Pores,0.5171122685185185,1071.8743896484375,1.0,12.552819778450411,18.658129485507295,889750.0,19052.498767366385,272.7814464881178,-8.823152157656947,15.869382858276367,58.203712463378906,0.8053898172113456,41.535099029541016,0.7201433777809143,1.5657798051834106,56.67715072631836
