Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation
Ko et. al (Etapa 3),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119294,564.4520604255775,-54.66972295206605,18.837570190429688,35.451873779296875,0.93769602758858
Ko et. al (Etapa 3),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119305,564.4520604255775,-54.66972295206605,19.918167114257812,34.76719665527344,0.9383315363274395
Ko et. al (Etapa 3),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,9.572113990783691,36.82530975341797,0.906011165729084
Ko et. al (Etapa 3),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613022,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,9.065032958984375,39.705406188964844,0.8840668687126155
Ko et. al (Etapa 3),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.33820475861302,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,11.219847679138184,36.26769256591797,0.9067155929205487
Ko et. al (Etapa 3),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,8.814784049987793,31.7968692779541,0.9267688943157784
Ko et. al (Etapa 3),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.10595948237351,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,9.993124961853027,31.230531692504883,0.9293912009674605
Ko et. al (Etapa 3),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,12.087288856506348,31.116764068603516,0.9337869278006922
Ko et. al (Etapa 3),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,6.308496952056885,32.68235778808594,0.921648203643144
Ko et. al (Etapa 3),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373509,13.484778931738408,893348.0000000001,25876.033958198066,444.62988182500567,-24.83811830627892,7.553471565246582,30.699586868286133,0.9279839609243682
Ko et. al (Etapa 3),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.572544885058969,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,6.200759410858154,36.63818359375,0.8803892323325465
