time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
9050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596887e-05 -3.441883e-05 0.00017282659 761.46162 215.6179
9100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596886e-05 -3.441883e-05 0.00017282658 761.4616 215.6179
9150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596886e-05 -3.4418829e-05 0.00017282658 761.46158 215.61789
9200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596885e-05 -3.4418829e-05 0.00017282657 761.46156 215.61789
9250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596885e-05 -3.4418829e-05 0.00017282657 761.46155 215.61788
9300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596885e-05 -3.4418829e-05 0.00017282657 761.46153 215.61788
9350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596884e-05 -3.4418829e-05 0.00017282656 761.46152 215.61788
9400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596884e-05 -3.4418829e-05 0.00017282656 761.4615 215.61787
9450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596884e-05 -3.4418828e-05 0.00017282656 761.46149 215.61787
9500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596883e-05 -3.4418828e-05 0.00017282655 761.46148 215.61786
9550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596883e-05 -3.4418828e-05 0.00017282655 761.46146 215.61786
9600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596883e-05 -3.4418828e-05 0.00017282655 761.46145 215.61786
9650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596883e-05 -3.4418828e-05 0.00017282655 761.46144 215.61785
9700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596882e-05 -3.4418828e-05 0.00017282655 761.46143 215.61785
9750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596882e-05 -3.4418828e-05 0.00017282654 761.46143 215.61785
9800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596882e-05 -3.4418828e-05 0.00017282654 761.46142 215.61785
9850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596882e-05 -3.4418827e-05 0.00017282654 761.46141 215.61784
9900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596882e-05 -3.4418827e-05 0.00017282654 761.4614 215.61784
