time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
7700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596914e-05 -3.4418721e-05 0.00017244229 759.76844 215.13846
7750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596911e-05 -3.4418723e-05 0.00017244276 759.7705 215.13904
7800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596909e-05 -3.4418725e-05 0.00017244322 759.77254 215.13962
7850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596907e-05 -3.4418727e-05 0.00017244368 759.77457 215.14019
7900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596905e-05 -3.4418729e-05 0.00017244414 759.77659 215.14077
7950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596903e-05 -3.4418731e-05 0.00017244459 759.77859 215.14133
8000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596901e-05 -3.4418732e-05 0.00017244505 759.78058 215.14189
8050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.25969e-05 -3.4418734e-05 0.00017244549 759.78255 215.14245
8100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596898e-05 -3.4418736e-05 0.00017244594 759.78451 215.14301
8150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596896e-05 -3.4418737e-05 0.00017244638 759.78646 215.14356
8200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596895e-05 -3.4418739e-05 0.00017244682 759.78839 215.14411
8250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596893e-05 -3.441874e-05 0.00017244725 759.79031 215.14465
8300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596892e-05 -3.4418742e-05 0.00017244769 759.79221 215.14519
8350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259689e-05 -3.4418743e-05 0.00017244812 759.79411 215.14573
8400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596889e-05 -3.4418745e-05 0.00017244854 759.79599 215.14626
8450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596888e-05 -3.4418746e-05 0.00017244897 759.79786 215.14679
8500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596887e-05 -3.4418747e-05 0.00017244939 759.79971 215.14731
8550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596885e-05 -3.4418749e-05 0.00017244981 759.80156 215.14784
8600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596884e-05 -3.441875e-05 0.00017245022 759.80339 215.14835
8650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596883e-05 -3.4418751e-05 0.00017245064 759.8052 215.14887
8700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596882e-05 -3.4418752e-05 0.00017245105 759.80701 215.14938
8750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596881e-05 -3.4418753e-05 0.00017245145 759.8088 215.14989
8800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259688e-05 -3.4418754e-05 0.00017245186 759.81059 215.15039
8850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596879e-05 -3.4418755e-05 0.00017245226 759.81236 215.15089
8900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596878e-05 -3.4418756e-05 0.00017245266 759.81412 215.15139
8950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596877e-05 -3.4418758e-05 0.00017245305 759.81586 215.15189
9000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596876e-05 -3.4418759e-05 0.00017245345 759.8176 215.15238
9050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596875e-05 -3.4418759e-05 0.00017245384 759.81932 215.15287
9100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596875e-05 -3.441876e-05 0.00017245423 759.82103 215.15335
9150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596874e-05 -3.4418761e-05 0.00017245461 759.82274 215.15383
9200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596873e-05 -3.4418762e-05 0.000172455 759.82443 215.15431
9250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596872e-05 -3.4418763e-05 0.00017245538 759.82611 215.15479
9300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596872e-05 -3.4418764e-05 0.00017245576 759.82777 215.15526
9350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596871e-05 -3.4418765e-05 0.00017245613 759.82943 215.15573
9400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259687e-05 -3.4418766e-05 0.00017245651 759.83108 215.1562
9450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259687e-05 -3.4418767e-05 0.00017245688 759.83272 215.15666
9500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596869e-05 -3.4418767e-05 0.00017245725 759.83434 215.15712
9550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596868e-05 -3.4418768e-05 0.00017245762 759.83596 215.15758
9600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596868e-05 -3.4418769e-05 0.00017245798 759.83756 215.15803
9650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596867e-05 -3.441877e-05 0.00017245834 759.83916 215.15848
9700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596867e-05 -3.4418771e-05 0.0001724587 759.84074 215.15893
9750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596866e-05 -3.4418771e-05 0.00017245906 759.84232 215.15938
9800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596866e-05 -3.4418772e-05 0.00017245941 759.84388 215.15982
9850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596865e-05 -3.4418773e-05 0.00017245977 759.84544 215.16026
9900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596865e-05 -3.4418773e-05 0.00017246012 759.84698 215.1607
9950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596864e-05 -3.4418774e-05 0.00017246047 759.84852 215.16113
10000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596864e-05 -3.4418775e-05 0.00017246081 759.85004 215.16157
10050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596863e-05 -3.4418775e-05 0.00017246116 759.85156 215.16199
10100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596863e-05 -3.4418776e-05 0.0001724615 759.85306 215.16242
10150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596863e-05 -3.4418777e-05 0.00017246184 759.85456 215.16284
